Title,Authors,Citations,Year,Venue,Publisher,Description,Link
A review of modern audio deepfake detection methods: challenges and future directions,"Z Almutairi, H Elgibreen ",75,2022,"Algorithms, 2022",mdpi.com,"… imitated and synthetically generated audio detection methods. … the performance more than 
the audio features themselves, in which a … and challenges of Deepfake detection methods are …",https://www.mdpi.com/1999-4893/15/5/155
Does audio deepfake detection generalize?,"NM Müller, P Czempin, F Dieckmann… ",106,2022,"arXiv preprint arXiv …, 2022",arxiv.org,"… In this way, we identify fundamental properties for well-performing audio deepfake detection… 
a new audio deepfake dataset1. We collect 17.2 hours of high-quality audio deepfakes and …",https://arxiv.org/abs/2203.16263
Review of audio deepfake detection techniques: Issues and prospects,"A Dixit, N Kaur, S Kingra ",14,2023,"Expert Systems, 2023",Wiley Online Library,"… This paper presents an overview of audio deepfake and its impact on society in Section 1. … 
, audio deepfake datasets play a critical role in developing and evaluating audio deepfake …",https://onlinelibrary.wiley.com/doi/abs/10.1111/exsy.13322
Generalization of Audio Deepfake Detection.,"T Chen, A Kumar, P Nagarsheth, G Sivaraman… ",187,2020,"Odyssey, 2020",researchgate.net,"… Instead of investigating different low level audio features, we try to increase the … Furthermore, 
we investigate the effectiveness of audio augmentation techniques. We augment the audio …",https://www.researchgate.net/profile/Avrosh-Kumar/publication/345141913_Generalization_of_Audio_Deepfake_Detection/links/600cb38945851553a0678e07/Generalization-of-Audio-Deepfake-Detection.pdf
Wavefake: A data set to facilitate audio deepfake detection,"J Frank, L Schönherr ",90,2021,"arXiv preprint arXiv:2111.02813, 2021",arxiv.org,"… [16] combined a Deepfake detection with an audio spoofing … has provided an overview 
over Deepfake audio in isolation. … providing the first steps towards audio Deepfake detection. …",https://arxiv.org/abs/2111.02813
Joint audio-visual deepfake detection,"Y Zhou, SN Lim ",142,2021,"Proceedings of the IEEE/CVF International …, 2021",openaccess.thecvf.com,"… To achieve this, we extract Mel-spectrogram from the audio … of our audio synthesis, we 
train an audio deepfake classifier … deepfake datasets in which audio channels are available. …",http://openaccess.thecvf.com/content/ICCV2021/html/Zhou_Joint_Audio-Visual_Deepfake_Detection_ICCV_2021_paper.html
A deep learning framework for audio deepfake detection,"J Khochare, C Joshi, B Yenarkar, S Suratkar… ",52,2021,"Arabian Journal for …, 2021",Springer,"… between fake and real audio more robustly. This work proposes a framework for the task 
of audio deepfake detection. To classify between real and fake audios, two approaches have …",https://link.springer.com/article/10.1007/s13369-021-06297-w
FakeAVCeleb: A novel audio-video multimodal deepfake dataset,"H Khalid, S Tariq, M Kim, SS Woo ",169,2021,"arXiv preprint arXiv:2108.05080, 2021",arxiv.org,"… deepfake videos with their respective fake audios. We believe our dataset will help 
researchers develop multimodal deepfake detectors that can detect both the deepfake audio and …",https://arxiv.org/abs/2108.05080
The effect of deep learning methods on deepfake audio detection for digital investigation,"M Mcuba, A Singh, RA Ikuesan, H Venter ",19,2023,"Procedia Computer Science, 2023",Elsevier,"… issue of deep-fake audio classification and evaluates the current methods of deep-fake audio 
… This paper evaluates existing techniques to detect deep fake audio using deep learning to …",https://www.sciencedirect.com/science/article/pii/S1877050923002910
Audio Deepfake Approaches,"OA Shaaban, R Yildirim, AA Alguttar ",9,2023,"IEEE Access, 2023",ieeexplore.ieee.org,"… This review provides a detailed analysis of audio deepfake … of different audio methods for 
generating and detecting audio … and evaluation of audio deepfake detection techniques. Finally…",https://ieeexplore.ieee.org/abstract/document/10320354/
